model,rule_summary,patch_path,before,after
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/qualifiers/1/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/1/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/1/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/2/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/2/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/0/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/1/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/1/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/2/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/2/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/3/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/3/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/4/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/4/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/5/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
