file,rule_summary,patch_path,before_value,after_value
IDTA 02019-1-0_Template_PlantAssetManagement.json,Normalize identifier to allowed pattern,/submodels/0/qualifiers/1/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/1/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/1/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02019-1-0_Template_PlantAssetManagement.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/2/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02019-1-0_Template_PlantAssetManagement.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/2/qualifiers/2/type,"""SMT/ExampleValue""","""SMT_ExampleValue"""
IDTA 02029-1_Template_Sensor4.0_MeasurementValue.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02029-1_Template_Sensor4.0_MeasurementValue.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02029-1_Template_Sensor4.0_MeasurementValue.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/1/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02029-1_Template_Sensor4.0_MeasurementValue.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/2/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02029-1_Template_Sensor4.0_MeasurementValue.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02029-1_Template_Sensor4.0_MeasurementValue.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/1/value/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02029-1_Template_Sensor4.0_MeasurementValue.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/2/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02029-1_Template_Sensor4.0_MeasurementValue.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/3/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02046-1-0_Template_WWMD.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02046-1-0_Template_WWMD.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02046-1-0_Template_WWMD.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/value/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02046-1-0_Template_WWMD.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/value/1/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02046-1-0_Template_WWMD.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/value/2/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02046-1-0_Template_WWMD.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/value/3/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02046-1-0_Template_WWMD.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/value/4/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA 02046-1-0_Template_WWMD.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/value/0/value/5/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
IDTA_02049_Template_QualityControlForMachining.json,Normalize identifier to allowed pattern,/submodels/0/submodelElements/0/qualifiers/0/type,"""SMT/Cardinality""","""SMT_Cardinality"""
